Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
2,2,3,16.0,2,82,257,137.31,Canada; Canada Ontario,Canada; Canada Ontario-1.0; 1.0,Canada; Canada Ontario-725.0; 0.0
2,2,3,-7.0,1,82,257,137.31,China Northwest (Shaanxi to Xinjiang),China Northwest (Shaanxi to Xinjiang)-1.0,China Northwest (Shaanxi to Xinjiang)-500.0
2,2,3,-7.0,1,82,257,137.31,Mozambique and Zimbabwe,Mozambique and Zimbabwe-1.0,Mozambique and Zimbabwe-350.0
3,2,3,-7.0,1,82,291,138.98,Switzerland and Liechtenstein,Switzerland and Liechtenstein-1.0,Switzerland and Liechtenstein-750.0
3,2,3,17.0,2,82,291,138.98,Bolivia; Brazil,Bolivia; Brazil-1.0; 1.0,Bolivia; Brazil-310.0; 625.0
3,2,3,16.0,2,82,291,138.98,Bolivia; Argentina,Bolivia; Argentina-1.0; 1.0,Bolivia; Argentina-310.0; 400.0
4,2,3,18.0,2,84,239,146.76,Mozambique and Zimbabwe; Namibia,Mozambique and Zimbabwe; Namibia-1.0; 1.0,Mozambique and Zimbabwe; Namibia-350.0; 385.0
4,2,3,18.0,2,84,239,146.76,Mozambique and Zimbabwe; South Africa,Mozambique and Zimbabwe; South Africa-1.0; 1.0,Mozambique and Zimbabwe; South Africa-350.0; 385.0
4,2,3,18.0,2,84,239,146.76,Zambia and Malawi; Mozambique and Zimbabwe,Zambia and Malawi; Mozambique and Zimbabwe-1.0; 1.0,Zambia and Malawi; Mozambique and Zimbabwe-450.0; 350.0
4,2,3,18.0,2,84,239,146.76,Namibia; South Africa,Namibia; South Africa-1.0; 1.0,Namibia; South Africa-385.0; 385.0
4,2,3,18.0,2,84,239,146.76,Zambia and Malawi; Namibia,Zambia and Malawi; Namibia-1.0; 1.0,Zambia and Malawi; Namibia-450.0; 385.0
4,2,3,18.0,2,84,239,146.76,Zambia and Malawi; South Africa,Zambia and Malawi; South Africa-1.0; 1.0,Zambia and Malawi; South Africa-450.0; 385.0
5,2,3,18.0,2,83,366,134.49,Bolivia; Paraguay,Bolivia; Paraguay-1.0; 1.0,Bolivia; Paraguay-310.0; 400.0
5,2,3,-7.0,1,83,366,134.49,Qatar and Bahrain,Qatar and Bahrain-1.0,Qatar and Bahrain-525.0
5,2,3,-9.0,1,83,366,134.49,India,India-1.0,India-350.0
6,2,3,14.0,2,87,240,150.84,Russland and Caucasus; East Asia,Russland and Caucasus; East Asia-1.0; 1.0,Russland and Caucasus; East Asia-0.0; 450.0
6,2,3,14.0,2,87,240,150.84,Russland and Caucasus; East Asia,Russland and Caucasus; East Asia-1.0; 1.0,Russland and Caucasus; East Asia-0.0; 450.0
7,2,3,-9.0,1,80,233,155.84,Sweden and Denmark,Sweden and Denmark-1.0,Sweden and Denmark-525.0
7,2,3,16.0,2,80,233,155.84,Ecuador; Chile North and Central,Ecuador; Chile North and Central-1.0; 2.0,Ecuador; Chile North and Central-350.0; 400.0
8,2,3,-7.0,1,87,309,138.77,Israel,Israel-1.0,Israel-420.0
8,2,3,-7.0,1,87,309,138.77,New Zealand,New Zealand-2.0,New Zealand-490.0
8,2,3,-7.0,1,87,309,138.77,Costa Rica,Costa Rica-1.0,Costa Rica-400.0
9,2,3,17.0,2,81,282,137.82,Indonesia; Sumatra and Java,Indonesia; Sumatra and Java-2.0; 1.0,Indonesia; Sumatra and Java-400.0; 0.0
9,2,3,-7.0,1,81,282,137.82,Bolivia,Bolivia-1.0,Bolivia-310.0
0,3,1,39.0,3,25,96,310.88,Central Asia; East Asia; Russland and Caucasus,Central Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; East Asia; Russland and Caucasus-350.0; 450.0; 0.0
0,3,1,40.0,3,25,96,310.88,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
0,3,1,40.0,3,25,96,310.88,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
0,3,1,39.0,3,25,96,310.88,Central Asia; East Asia; Russland and Caucasus,Central Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; East Asia; Russland and Caucasus-350.0; 450.0; 0.0
1,3,1,40.0,3,30,140,349.69,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
1,3,1,39.0,3,30,140,349.69,South Asia; East Asia; Russland and Caucasus,South Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,South Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
